CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
AND,GAL,NGC205,M110,00 40.4,+41 41,8.1,19.5,11.5,NGC,,,,,
AND,*'S,NGC206,Great Star Cloud in Andromeda Galaxy,00 40.5,+40 44,12.8,4.2,4.2,NGC,,,,,
AND,GAL,NGC221,M32,00 42.7,+40 52,8.1,8.5,6.5,NGC,,,,,
AND,GAL,NGC224,M31 ANDROMEDA GALAXY,00 42.7,+41 16,3.5,210.0,45.0,NGC,,,,,
AND,GAL,NGC404,MIRACH'S GHOST,01 09.4,+35 43,10.3,4.3,3.9,NGC,,,,,
AND,GAL,NGC891,UGC 1831/The Silver Sliver Galaxy        ,02 22.6,+42 21,9.9,13.1,2.8,NGC,,,,,
AND,PN,NGC7662,Blue Snowball,23 25.9,+42 32,8.6,0.28,0.23,NGC,,,,,
AQL,OC,NGC6709,OCL  100          ,18 51.5,+10 20,6.7,15.0,15.0,NGC,,,,,
AQL,OC,NGC6755,OCL   96          ,19 07.8,+04 16,7.5,15.0,15.0,NGC,,,,,
AQL,OC,NGC6756,OCL   99          ,19 08.7,+04 42,10.6,4.0,4.0,NGC,,,,,
AQL,PN,NGC6781,"GHOST OF THE MOON, The Snowglobe/HORSESHOE/EAGLE'S NEST",19 18.5,+06 32,11.8,1.9,1.82,NGC,,,,,
AQL,PN,NGC6804,SNOWBALL NEBULA,19 31.6,+09 14,12.4,1.05,0.83,NGC,,,,,
AQR,GC,NGC6981,M72,20 53.5,-12 32,9.2,6.6,6.6,NGC,,,,,
AQR,PN,NGC7009,SATURN NEBULA,21 04.2,-11 22,8.3,0.47,0.38,NGC,,,,,
AQR,GC,NGC7089,M2,21 33.5,-00 49,6.6,16.0,16.0,NGC,,,,,
AQR,PN,NGC7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,6.3,16.0,12.0,NGC,,,,,
AQR,GAL,NGC7606,MCG - 2-59- 12    ,23 19.1,-08 29,10.8,4.2,2.3,NGC,,,,,
ARI,GAL,NGC772,FIDDLEHEAD GALAXY,01 59.3,+19 00,10.3,7.5,4.3,NGC,,,,,
ARI,GAL,NGC877,UGC 1768         ,02 18.0,+14 33,11.9,2.4,1.9,NGC,,,,,
ARI,GAL,NGC972,UGC 2045         ,02 34.2,+29 19,11.4,3.3,1.6,NGC,,,,,
AUR,OC,NGC1664,OCL  411          ,04 51.1,+43 41,7.6,18.0,18.0,NGC,,,,,
AUR,OC,NGC1778,OCL  429          ,05 08.1,+37 01,7.7,8.0,8.0,NGC,,,,,
AUR,OC,NGC1798,OCL  410          ,05 11.7,+47 42,10,5.0,5.0,NGC,,,,,
AUR,OC,NGC1857,OCL  428          ,05 20.1,+39 21,7,10.0,10.0,NGC,,,,,
AUR,BN,IC410,1893,05 22.7,+33 25,7.5,30.0,30.0,IC,410,IC 410,IC 410,,410
AUR,OC,NGC1893,IC 410           ,05 22.8,+33 25,7.5,25.0,25.0,NGC,,,,,
