CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
And,GAL,NGC205,M110,00 40.4,+41 41,8.1,19.5,11.5,M,110,M 110,,M 110,110,G,True
And,*'S,NGC206,Great Star Cloud in Andromeda Galaxy,00 40.5,+40 44,12.8,4.2,4.2,NGC,206,NGC 206,,,206,*Ass,True
And,GAL,NGC221,M32,00 42.7,+40 52,8.1,8.5,6.5,M,32,M 32,,M 32,32,G,True
And,GAL,NGC224,M31 ANDROMEDA GALAXY,00 42.7,+41 16,3.5,210.0,45.0,M,31,M 31,,M 31,31,G,True
And,GAL,NGC404,MIRACH'S GHOST,01 09.4,+35 43,10.3,4.3,3.9,NGC,404,NGC 404,,,404,G,True
And,GAL,NGC891,UGC 1831/The Silver Sliver Galaxy        ,02 22.6,+42 21,9.9,13.1,2.8,NGC,891,NGC 891,,,891,G,True
And,PN,NGC7662,Blue Snowball,23 25.9,+42 32,8.6,0.28,0.23,NGC,7662,NGC 7662,,,7662,PN,True
Aql,OC,NGC6709,OCL  100          ,18 51.5,+10 20,6.7,15.0,15.0,NGC,6709,NGC 6709,,,6709,OCl,True
Aql,OC,NGC6755,OCL   96          ,19 07.8,+04 16,7.5,15.0,15.0,NGC,6755,NGC 6755,,,6755,OCl,True
Aql,OC,NGC6756,OCL   99          ,19 08.7,+04 42,10.6,4.0,4.0,NGC,6756,NGC 6756,,,6756,OCl,True
Aql,PN,NGC6781,"GHOST OF THE MOON, The Snowglobe/HORSESHOE/EAGLE'S NEST",19 18.5,+06 32,11.8,1.9,1.82,NGC,6781,NGC 6781,,,6781,PN,True
Aql,PN,NGC6804,SNOWBALL NEBULA,19 31.6,+09 14,12.4,1.05,0.83,NGC,6804,NGC 6804,,,6804,PN,True
Aqr,GC,NGC6981,M72,20 53.5,-12 32,9.2,6.6,6.6,M,72,M 72,,M 72,72,GCl,True
Aqr,PN,NGC7009,SATURN NEBULA,21 04.2,-11 22,8.3,0.47,0.38,NGC,7009,NGC 7009,,,7009,PN,True
Aqr,GC,NGC7089,M2,21 33.5,-00 49,6.6,16.0,16.0,M,2,M 2,,M 2,2,GCl,True
Aqr,PN,NGC7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,6.3,16.0,12.0,NGC,7293,NGC 7293,,,7293,PN,True
Aqr,GAL,NGC7606,MCG - 2-59- 12    ,23 19.1,-08 29,10.8,4.2,2.3,NGC,7606,NGC 7606,,,7606,G,True
Ari,GAL,NGC772,FIDDLEHEAD GALAXY,01 59.3,+19 00,10.3,7.5,4.3,NGC,772,NGC 772,,,772,G,True
Ari,GAL,NGC877,UGC 1768         ,02 18.0,+14 33,11.9,2.4,1.9,NGC,877,NGC 877,,,877,G,True
Ari,GAL,NGC972,UGC 2045         ,02 34.2,+29 19,11.4,3.3,1.6,NGC,972,NGC 972,,,972,G,True
