Name normalized,Catalog,Name,Name (no leading zero),Name (final),NGC/ID,Type,Common Name,Mag,RA,Dec,Width ('),Height ('),IC,IC name,NGC,NGC name,mike
C 99,-,NTH CS,NTH CS,,,Dn,Coalsack Northern ,,21:40:00,41.0,300.0,300.0,,,,,True
C 9,Caldwell,C 009,C 9,C 9,,Bn,Cave Nebula,7.7,22:56:48,62.62,50.0,10.0,,,,,True
C 14,Caldwell,C 014,C 14,C 14,,Oc,"Double Cluster, h & chi Persei",4.3,02:20:00,57.13,30.0,30.0,,,,,True
C 41,Caldwell,C 041,C 41,C 41,,Oc,Hyades,1,04:27:00,16.0,330.0,330.0,,,,,True
C 99,Caldwell,C 099,C 99,C 99,,Dn,Coalsack Nebula,-,12:53:00,-63.0,400.0,300.0,,,,,True
IC 342,Caldwell,C 005,C 5,C 5,I342,Sp,,9.2,03:46:48,68.1,18.0,17.0,342,IC 342,,,True
IC 353,IC,IC  353,IC 353,IC 353,I 353,Nb,,,03:55:00,25.48,180.0,180.0, 353,IC 353,,,True
IC 360,IC,IC  360,IC 360,IC 360,I 360,Nb,,,04:13:00,25.63,180.0,180.0, 360,IC 360,,,True
IC 405,Caldwell,C 031,C 31,C 31,I405,Bn,Flaming Star Nebula,6,05:16:12,34.27,30.0,19.0,405,IC 405,,,True
IC 405,IC,IC  405,IC 405,IC 405 = C 31,I 405,Nb,Flaming Star nebula,,05:16:12,34.27,30.0,30.0, 405,IC 405,,,True
IC 410,IC,IC  410,IC 410,IC 410,I 410,C+N,,,05:22:36,33.52,40.0,40.0, 410,IC 410,,,True
IC 434,IC,IC  434,IC 434,IC 434,I 434,Nb,Horsehead nebula,,05:41:00,-1.6,60.0,60.0, 434,IC 434,,,True
IC 443,IC,IC  443,IC 443,IC 443,I 443,Nb,,,06:16:54,22.78,50.0,50.0, 443,IC 443,,,True
IC 447,IC,IC 2169,IC 447,IC 2169,I0447,Nb,,,06:31:12,9.9,25.0,25.0,0447,IC 0447,,,True
IC 468,IC,IC  468,IC 468,IC 468,I 468,Nb,,,07:17:30,-12.85,20.0,20.0, 468,IC 468,,,True
IC 1287,IC,IC 1287,IC 1287,IC 1287,I1287,Nb,,,18:31:18,-9.17,44.0,44.0,1287,IC 1287,,,True
IC 1340,IC,IC 1340,IC 1340,,I1340,Nb,,,20:56:12,31.07,25.0,25.0,1340,IC 1340,,,True
IC 1396,IC,IC 1396,IC 1396,IC 1396,I1396,C+N,,3,21:39:06,57.5,170.0,170.0,1396,IC 1396,,,True
IC 1795,IC,IC 1795,IC 1795,IC 1795,I1795,Nb,,,02:26:30,62.07,20.0,20.0,1795,IC 1795,,,True
IC 1805,IC,IC 1805,IC 1805,IC 1805,I1805,C+N,,6,02:32:42,61.45,60.0,60.0,1805,IC 1805,,,True
IC 1848,IC,IC 1848,IC 1848,IC 1848,I1848,C+N,,6,02:51:12,60.43,60.0,60.0,1848,IC 1848,,,True
IC 2177,IC,IC 2177,IC 2177,IC 2177,I2177,Nb,,,07:05:06,-9.3,120.0,120.0,2177,IC 2177,,,True
IC 2391,Caldwell,C 085,C 85,C 85,I2391,Oc,Omicron Vel Cluster,2.5,08:40:12,-53.07,50.0,50.0,2391,IC 2391,,,True
IC 2391,IC,IC 2391,IC 2391,IC 2391 = C 85,I2391,OC,,2,08:40:12,-52.93,50.0,50.0,2391,IC 2391,,,True
IC 2602,Caldwell,C 102,C 102,C 102,I2602,Oc,Theta Car Cluster,1.9,10:43:12,-64.4,50.0,50.0,2602,IC 2602,,,True
IC 2602,IC,IC 2602,IC 2602,IC 2602  = C 102,I2602,OC,Southern Pleiades,1,10:43:12,-63.6,50.0,50.0,2602,IC 2602,,,True
IC 2944,IC,IC 2944,IC 2944,IC 2944 = C 100,I2944,C+N,lambda Cen nebula,4,11:36:36,-62.97,75.0,75.0,2944,IC 2944,,,True
IC 2948,IC,IC 2948,IC 2948,IC 2948,I2948,Nb,lambda Cen nebula,,11:38:48,-62.47,60.0,60.0,2948,IC 2948,,,True
IC 4592,IC,IC 4592,IC 4592,IC 4592,I4592,Nb,,,16:12:00,-18.53,150.0,150.0,4592,IC 4592,,,True
IC 4601,IC,IC 4601,IC 4601,IC 4601,I4601,Nb,,,16:20:00,-19.97,20.0,20.0,4601,IC 4601,,,True
IC 4603,IC,IC 4603,IC 4603,IC 4603,I4603,Nb,,,16:25:36,-23.53,20.0,20.0,4603,IC 4603,,,True
IC 4604,IC,IC 4604,IC 4604,IC 4604,I4604,Nb,rho Oph nebula,,16:25:36,-22.57,60.0,60.0,4604,IC 4604,,,True
IC 4605,IC,IC 4605,IC 4605,IC 4605,I4605,Nb,,,16:30:12,-24.9,30.0,30.0,4605,IC 4605,,,True
IC 4628,IC,IC 4628,IC 4628,IC 4628,I4628,Nb,,,16:57:00,-39.67,90.0,90.0,4628,IC 4628,,,True
IC 4665,IC,IC 4665,IC 4665,IC 4665,I4665,OC,,4,17:46:18,5.72,41.0,41.0,4665,IC 4665,,,True
IC 4701,IC,IC 4701,IC 4701,IC 4701,I4701,Nb,,,18:16:30,-15.27,60.0,60.0,4701,IC 4701,,,True
M 24,IC,IC 4715,IC 4715,IC 4715 = M 24,I4715,C+N,,,18:26:12,-17.57,30.0,30.0,4715,IC 4715,,,True
M 24,Messier,M 024,M 24,M 24,,MW,Sagittarius Star Cloud,4.6,18:06:54,-18.5,90.0,90.0,,,,,True
M 25,IC,IC 4725,IC 4725,IC 4725 = M 25,I4725,OC,M  25,4,18:31:36,-18.75,32.0,32.0,4725,IC 4725,,,True
M 25,Messier,M 025,M 25,M 25,IC4725,Oc,,6.5,18:01:36,-19.25,40.0,40.0,C4725,IC C4725,,,True
IC 4756,IC,IC 4756,IC 4756,IC 4756,I4756,OC,,5,18:39:00,5.45,52.0,52.0,4756,IC 4756,,,True
